propertyid,city,state,zipcode,address,bedrooms,bathrooms,squarefeet,pricing,yearbuilt,description,listingdate,status,type
78041473,Jerome,Pennsylvania,15937,8337 Wendy Bypass,1,1,2279,3282852.63,1981,"Located in a quiet neighborhood, this property offers great potential.",2023-12-03,Off Market,townhouses
38412846,Matador,Texas,79244,5262 Alyssa Via Suite 376,5,1,2150,1476794.91,1919,Close to schools and shopping centers.,2024-03-18,Pending,single houses
64538742,East Prospect,Pennsylvania,17317,69028 Ballard Forks,1,1,707,805815.37,1908,"Located in a quiet neighborhood, this property offers great potential.",2023-09-19,Under Contract,condominiums
94608059,Sacramento,California,95894,733 Roger Flat,5,2,4893,1591281.91,1975,A beautiful home with stunning views.,2024-02-13,Pending,townhouses
40753443,Miller City,Illinois,62962,192 Ball Village Apt. 278,3,2,4676,3009178.66,1999,Spacious property with a large backyard.,2024-07-09,Off Market,single houses
18079094,Heber City,Utah,84032,06038 David Forge Apt. 138,1,3,4816,3575107.51,1924,Recently renovated with modern finishes.,2023-08-08,Under Contract,apartments
41689985,Arbovale,West Virginia,24915,409 Barnett Burgs Suite 522,1,3,902,4977596.91,1915,Perfect for first-time buyers or investors.,2023-10-16,Off Market,apartments
49469073,Huntington,West Virginia,25774,73251 Steve Estates Suite 131,1,1,1065,1977356.5,1918,Spacious property with a large backyard.,2024-05-27,Off Market,single houses
85466555,Rochester,New York,14611,159 Thornton Mountains,5,3,2796,3944917.86,1943,"Located in a quiet neighborhood, this property offers great potential.",2023-10-01,Under Contract,apartments
55343180,Argyle,Minnesota,56713,142 John Drive Apt. 699,3,1,2639,2072420.01,1955,Close to schools and shopping centers.,2023-12-13,For Sale,condominiums
24294267,Rochester,New York,14643,0616 Larry Street Apt. 776,2,2,3920,1535674.4,1973,A beautiful home with stunning views.,2024-05-01,Under Contract,apartments
87646916,Raphine,Virginia,24472,387 Dustin Gardens Apt. 294,5,2,4123,4160656.83,2006,Close to schools and shopping centers.,2023-11-06,Under Contract,apartments
95680230,Slate Hill,New York,10973,6686 Brown Road,2,3,1773,2124535.37,1958,A beautiful home with stunning views.,2024-01-24,Sold,villas
66884430,Murray,Kentucky,42071,3647 Olson Dam Apt. 432,3,1,879,4980192.72,1948,"Located in a quiet neighborhood, this property offers great potential.",2023-08-05,Pending,single houses
23748361,Ann Arbor,Michigan,48103,88734 Robinson Crossing Suite 250,5,3,3913,4951734.31,2020,Recently renovated with modern finishes.,2024-05-04,Pending,single houses
55529190,Sarasota,Florida,34243,872 Samuel Villages,5,3,2308,2496570.33,1970,Close to schools and shopping centers.,2024-07-26,For Sale,townhouses
13509677,Montgomery,Alabama,36141,452 Kenneth Shoals Suite 441,4,3,3576,3390655.27,1910,Recently renovated with modern finishes.,2024-07-24,Off Market,single houses
85222129,Capac,Michigan,48014,68156 York Crossing,3,2,4363,1754675.59,1913,Close to schools and shopping centers.,2023-08-24,Off Market,townhouses
42619624,Claridge,Pennsylvania,15623,16298 Michael Squares,3,1,4258,699051.15,2023,Close to schools and shopping centers.,2023-11-27,Sold,apartments
80606948,Drewsville,New Hampshire,3604,56242 Johnson Trail Apt. 786,4,3,3663,3511507.25,2008,Perfect for first-time buyers or investors.,2023-11-22,For Sale,townhouses
32559968,Morgantown,West Virginia,26501,6783 Maria Shores,5,2,3572,4225922.81,1971,Close to schools and shopping centers.,2024-03-25,Sold,single houses
48654753,Tampa,Florida,33685,0882 Richmond Turnpike Suite 601,1,1,4000,4039817.31,1991,Perfect for first-time buyers or investors.,2024-02-14,Off Market,condominiums
52418293,Conehatta,Mississippi,39057,56487 Sarah Shore,5,1,4784,1359682.34,1918,Close to schools and shopping centers.,2024-01-19,For Sale,villas
13761737,Gardena,California,90247,47539 Sean Prairie,3,1,3552,427206.73,1989,"Located in a quiet neighborhood, this property offers great potential.",2024-06-04,Pending,condominiums
10589656,Somerset,Texas,78069,439 Yu Light,1,1,4738,1558663.12,1923,Close to schools and shopping centers.,2024-07-23,Pending,apartments
88127536,APO AE,,9047,3418 Cox Gateway,5,2,3947,2568351.98,1905,"Located in a quiet neighborhood, this property offers great potential.",2024-03-29,Sold,single houses
93763527,Walnut Cove,North Carolina,27052,233 Eduardo Oval,5,3,1071,2058851.02,1939,Recently renovated with modern finishes.,2023-08-20,Pending,condominiums
77616809,Mount Vernon,Virginia,22121,052 Oliver Place,4,2,3643,4096358.74,1935,Spacious property with a large backyard.,2023-08-13,Off Market,apartments
23463917,Sterling Heights,Michigan,48312,43305 Ricky Squares,2,2,2327,4753192.23,1983,"Located in a quiet neighborhood, this property offers great potential.",2023-09-11,Under Contract,single houses
46950776,Potomac,Maryland,20859,042 Sullivan View,4,2,1084,2004140.95,1930,Spacious property with a large backyard.,2024-07-22,Sold,villas
84434885,Meadow Grove,Nebraska,68752,23235 Travis Points,1,3,3347,2908719.43,2018,A beautiful home with stunning views.,2024-01-09,Under Contract,single houses
27045585,Dorchester Center,Massachusetts,2124,160 Kenneth Row Suite 825,2,1,2420,1851933.51,1996,Recently renovated with modern finishes.,2023-12-19,Pending,townhouses
15491512,Little Chute,Wisconsin,54140,795 Lisa Parkway,3,2,868,3645309.37,2021,Perfect for first-time buyers or investors.,2024-01-01,Pending,single houses
99012419,Jesup,Georgia,31545,981 Garcia Walk Suite 609,5,3,3730,668178.1,1968,Close to schools and shopping centers.,2023-09-25,For Sale,condominiums
84357555,Arlington,Virginia,22210,6101 Ronald Ports Suite 416,4,2,1603,2357669.47,1919,Close to schools and shopping centers.,2023-11-16,For Sale,condominiums
68484004,Paradise Valley,Nevada,89426,72454 Davis Springs,3,2,4915,1863802.87,1934,"Located in a quiet neighborhood, this property offers great potential.",2024-02-28,Pending,townhouses
56156651,Madison,Mississippi,39130,469 David Street,4,2,2162,128442.71,1927,A beautiful home with stunning views.,2024-05-25,Sold,townhouses
16192397,Boise,Idaho,83756,5202 Jessica Spur,4,2,2562,4257536.78,1941,Spacious property with a large backyard.,2024-04-25,Pending,condominiums
41084835,Otho,Iowa,50569,115 Austin Lakes Apt. 283,2,1,4075,2080278.18,1981,Recently renovated with modern finishes.,2023-09-30,Pending,apartments
73134874,Mars Hill,North Carolina,28754,605 Gutierrez Stravenue,4,3,2393,4893294.13,1934,Spacious property with a large backyard.,2023-10-11,Under Contract,apartments
71460749,Cheneyville,Louisiana,71325,4499 Jones Bypass,3,3,4287,596961.51,1908,A beautiful home with stunning views.,2023-09-01,Under Contract,villas
87959690,Sumner,Washington,98390,18932 Fitzgerald Shores Apt. 734,4,2,4563,3240644.07,2011,A beautiful home with stunning views.,2023-10-15,Pending,townhouses
56220409,Washington,District of Columbia,20074,270 David Course,1,2,1355,4618080.39,1998,"Located in a quiet neighborhood, this property offers great potential.",2024-03-05,Sold,apartments
87448730,Harrisonburg,Louisiana,71340,35250 Tamara Branch Suite 356,4,2,2846,4712113.65,1941,Spacious property with a large backyard.,2023-11-23,Sold,condominiums
63779262,Ojo Feliz,New Mexico,87735,37953 Bailey Flat,2,1,731,1146670.45,1927,"Located in a quiet neighborhood, this property offers great potential.",2023-11-24,Under Contract,apartments
54224445,Wilsons Mills,North Carolina,27593,40418 John Mountain Suite 476,5,3,891,2934508.58,2006,A beautiful home with stunning views.,2024-05-17,For Sale,apartments
46710661,Perry,Michigan,48872,33657 Hughes Lodge,1,1,4467,554446.92,2001,Recently renovated with modern finishes.,2023-10-24,Under Contract,single houses
26617071,Bartlesville,Oklahoma,74003,5399 Thomas Course,1,2,3724,165543.95,1996,"Located in a quiet neighborhood, this property offers great potential.",2024-03-20,Sold,condominiums
42696145,Dolomite,Alabama,35061,318 Combs Glens,5,3,2516,1508755.26,2016,Perfect for first-time buyers or investors.,2024-07-05,For Sale,single houses
51084406,Robbins,California,95676,9260 Garrett Parks,1,3,4482,3760141.04,1957,Spacious property with a large backyard.,2023-08-15,For Sale,condominiums
88706926,Carolina,West Virginia,26563,83085 Jennifer Keys Suite 765,4,2,1547,3608757.41,1963,Perfect for first-time buyers or investors.,2024-05-20,Pending,townhouses
18181493,River Forest,Illinois,60305,797 Patricia Cove,1,2,1347,2743116.25,1924,Perfect for first-time buyers or investors.,2024-06-28,Under Contract,apartments
32128502,Sherrills Ford,North Carolina,28673,503 Davis Expressway Apt. 638,5,2,3230,3827601.54,1955,"Located in a quiet neighborhood, this property offers great potential.",2023-12-25,Under Contract,villas
18409078,Harrisburg,Oregon,97446,5271 Reed Stream,1,3,620,1113395.51,1925,Recently renovated with modern finishes.,2024-02-19,Pending,apartments
43786445,Tallulah,Louisiana,71284,8714 Jessica Pine Suite 485,2,3,2864,4472229.08,1937,"Located in a quiet neighborhood, this property offers great potential.",2024-07-01,For Sale,single houses
34904099,Myrtle Creek,Oregon,97457,07327 Rowe Glens Suite 921,1,1,4926,452168.79,1920,A beautiful home with stunning views.,2024-01-20,For Sale,apartments
92936270,Winthrop,New York,13697,57015 Martin Route,5,1,4522,3828316.5,1993,Spacious property with a large backyard.,2024-05-11,Pending,townhouses
48289094,Stone Park,Illinois,60165,52546 Leach Mountains Suite 373,4,3,3945,1826839.76,1973,Recently renovated with modern finishes.,2023-10-12,Sold,single houses
46218624,Scranton,Pennsylvania,18508,094 Galloway Parkways Apt. 524,1,3,1295,2585907.98,2001,"Located in a quiet neighborhood, this property offers great potential.",2024-07-03,Off Market,townhouses
47041021,Beach City,Ohio,44608,894 Hanson Circles,1,3,1529,617456.43,1968,"Located in a quiet neighborhood, this property offers great potential.",2023-12-24,Pending,single houses
59004945,Stamford,Connecticut,6911,764 Lauren Pike,1,1,901,139216.41,1960,Perfect for first-time buyers or investors.,2024-04-18,For Sale,apartments
69330854,Waltham,Massachusetts,2451,9467 Hamilton Overpass Apt. 429,4,1,1223,2062776.45,1921,Close to schools and shopping centers.,2024-07-01,Pending,apartments
59386938,Duluth,Minnesota,55802,29858 Jennifer Bypass,3,3,1616,1129523.6,1952,Spacious property with a large backyard.,2023-12-16,For Sale,townhouses
22260670,Salyer,California,95563,0574 Elizabeth Plains,1,3,3818,3070104.42,1951,Recently renovated with modern finishes.,2024-07-31,Off Market,condominiums
43056737,Fairbanks,Alaska,99707,79628 Ricardo Glens Suite 604,2,1,939,3516003.17,1924,A beautiful home with stunning views.,2024-04-13,Sold,apartments
47596322,Ewing,Illinois,62836,3382 Robertson Union,1,3,1581,3907886.99,2010,Spacious property with a large backyard.,2024-02-18,Pending,condominiums
77766122,Seattle,Washington,98166,8101 Jamie Prairie Suite 681,1,2,1255,2702559.92,1940,Spacious property with a large backyard.,2024-02-22,Under Contract,condominiums
65518525,Elizabeth,Minnesota,56533,5985 Erica Summit Suite 226,3,3,1480,304181.3,1970,Recently renovated with modern finishes.,2024-07-11,Sold,single houses
66482797,Oshkosh,Wisconsin,54902,247 Freeman Ranch Apt. 488,1,3,2074,645636.42,1997,A beautiful home with stunning views.,2023-08-22,Off Market,apartments
55937104,Willard,Missouri,65781,25131 Mark Throughway Apt. 787,3,3,2114,4705261.44,1941,A beautiful home with stunning views.,2024-01-12,Off Market,condominiums
10575640,Mount Solon,Virginia,22843,3939 Ibarra Cliffs Suite 123,1,1,950,3875384.03,1919,"Located in a quiet neighborhood, this property offers great potential.",2023-09-07,Sold,villas
90124815,Ferndale,New York,12734,0714 Francis Hollow Apt. 311,3,2,2022,3940004.55,1970,Close to schools and shopping centers.,2024-03-11,Pending,townhouses
28468261,Mount Gilead,Ohio,43338,7015 Shepherd Stravenue,2,1,1661,1178877.11,1980,"Located in a quiet neighborhood, this property offers great potential.",2024-01-13,For Sale,townhouses
35217863,Haydenville,Massachusetts,1039,90189 Marcia Squares,4,1,4112,4061264.14,1992,Recently renovated with modern finishes.,2024-07-29,Sold,single houses
42857238,Huntington,West Virginia,25713,844 Gonzalez Ridges Suite 270,4,2,4526,2541195.18,1938,Spacious property with a large backyard.,2023-09-06,Pending,townhouses
43381386,Napa,California,94558,4203 Duran Union,3,2,2961,1852560.68,1910,Recently renovated with modern finishes.,2024-05-12,Sold,apartments
25467752,Johnson,Vermont,5656,543 Joseph Pines Suite 192,1,3,4925,2125887.21,1940,Close to schools and shopping centers.,2024-03-17,Off Market,townhouses
36532113,Elderton,Pennsylvania,15736,409 Chavez Gateway,4,1,3782,2703386.68,1991,Close to schools and shopping centers.,2024-05-18,Off Market,townhouses
17857263,Rio Medina,Texas,78066,14789 Christine Neck,3,3,1651,177181.06,2012,"Located in a quiet neighborhood, this property offers great potential.",2023-11-30,For Sale,condominiums
88938119,Bridgeport,Illinois,62417,501 Obrien Passage Suite 689,2,1,3689,773333.34,1999,"Located in a quiet neighborhood, this property offers great potential.",2023-12-13,Pending,apartments
11738957,Andale,Kansas,67001,39782 Abigail Courts,3,3,3908,1342816.53,1919,A beautiful home with stunning views.,2023-08-10,For Sale,townhouses
18891810,Marlin,Washington,98832,83966 John Mount,4,2,1582,4961899.23,1983,"Located in a quiet neighborhood, this property offers great potential.",2023-10-30,Off Market,condominiums
13238112,Beecher Falls,Vermont,5902,14212 Bruce Turnpike,4,3,1419,3326065.27,1936,Spacious property with a large backyard.,2023-11-24,Off Market,condominiums
58710724,Waterloo,Wisconsin,53594,261 White Vista,3,3,3189,2561488.15,2006,Recently renovated with modern finishes.,2024-01-21,Under Contract,villas
55029358,Merrifield,Virginia,22116,8406 Mccoy Spurs,3,2,3673,4480625.3,2011,Recently renovated with modern finishes.,2024-02-13,For Sale,villas
21226303,Butler,Indiana,46721,2369 Paul Highway,3,3,4350,4006374.9,1976,Close to schools and shopping centers.,2023-08-19,Sold,apartments
82825010,Gainesville,Florida,32602,6794 Brandon Points Suite 487,4,1,991,4674497.91,2016,Recently renovated with modern finishes.,2023-10-02,Pending,villas
48670598,Shreveport,Louisiana,71152,546 Brown Inlet Suite 931,3,1,1253,2354677.98,1961,Recently renovated with modern finishes.,2024-04-11,Under Contract,townhouses
21017959,Houston,Texas,77041,872 Carson Divide Apt. 812,1,1,3390,2675748.37,2004,Spacious property with a large backyard.,2023-09-10,Sold,single houses
19399079,Garland,Texas,75041,9453 Crane Forges Suite 671,1,1,3632,3704744.4,1975,Spacious property with a large backyard.,2024-01-14,Sold,townhouses
71371393,Canterbury,New Hampshire,3224,540 Daniels Way Apt. 864,3,3,4614,3270667.37,1916,Close to schools and shopping centers.,2024-04-01,For Sale,single houses
56345911,Snow Hill,Maryland,21863,473 Emily Extensions Suite 030,3,1,3868,2404408.19,2013,Close to schools and shopping centers.,2024-07-19,Sold,single houses
17408432,Staten Island,New York,10311,5460 Eric Ways,2,2,3330,2208285.55,2007,Close to schools and shopping centers.,2024-04-22,Under Contract,single houses
69766952,North Carrollton,Mississippi,38947,70700 Sean Shore Apt. 643,5,3,3589,581479.33,1943,Perfect for first-time buyers or investors.,2024-05-11,Under Contract,townhouses
94509743,Dallas,Georgia,30157,90768 Neal Greens Apt. 674,4,2,4378,3252152.19,2001,Close to schools and shopping centers.,2024-03-30,Under Contract,condominiums
33351038,Smithville,Indiana,47458,70238 Hayden Camp Suite 421,4,2,3687,866258.61,2009,Recently renovated with modern finishes.,2023-11-28,Sold,single houses
38367249,Aurora,Colorado,80044,1118 Denise Well,3,1,1253,2893751.99,1977,Recently renovated with modern finishes.,2023-09-21,Sold,apartments
65585853,APO AE,,9447,915 Tony Ports,5,1,613,1749053.96,1911,Spacious property with a large backyard.,2023-12-12,For Sale,single houses
57502988,Norris,Illinois,61553,347 Donaldson Creek Suite 957,4,2,1903,3106001.35,2019,A beautiful home with stunning views.,2024-03-19,Under Contract,single houses
92152444,Washington,District of Columbia,20429,3905 Gordon Ports Suite 805,5,3,1376,4743291.15,1928,"Located in a quiet neighborhood, this property offers great potential.",2023-08-25,Pending,villas
65167348,Stamford,Connecticut,6912,3348 Mercado Knolls,1,3,2255,571011.29,1952,Recently renovated with modern finishes.,2024-02-29,For Sale,villas
14016695,Wilsonville,Illinois,62093,444 Joseph Fall Suite 461,2,1,4306,750806.13,1940,Recently renovated with modern finishes.,2024-06-07,For Sale,single houses
92876545,Switchback,West Virginia,24887,88570 Alexa Course Apt. 627,1,3,4508,1469001.08,2003,A beautiful home with stunning views.,2024-07-16,For Sale,villas
56925252,Catlett,Virginia,20119,10086 Judith Throughway Suite 982,3,2,4289,2984385.93,2012,"Located in a quiet neighborhood, this property offers great potential.",2024-03-18,Sold,villas
90484769,Mc Lean,Virginia,22109,84076 Lopez Manor,1,3,1123,2528884.29,2002,Perfect for first-time buyers or investors.,2024-04-29,For Sale,villas
47799095,Hawk Springs,Wyoming,82217,587 Jill Vista,1,1,1305,989114.15,2007,A beautiful home with stunning views.,2024-05-07,Sold,townhouses
74772582,Friendly,West Virginia,26146,50976 Long Extensions,3,3,3622,2789964.98,1951,A beautiful home with stunning views.,2024-02-01,Pending,townhouses
33541408,Santa Maria,California,93454,14379 Gould Terrace,2,3,2016,808920.81,1916,Perfect for first-time buyers or investors.,2023-10-18,Pending,apartments
28823352,Annville,Pennsylvania,17003,3603 Duncan Plains Suite 839,3,3,1500,3710746.7,1967,Perfect for first-time buyers or investors.,2023-10-05,Off Market,condominiums
81915561,Lincoln,Nebraska,68517,255 Bennett Tunnel,3,3,4807,80104.93,1918,Spacious property with a large backyard.,2024-06-19,Off Market,apartments
66387269,Frankewing,Tennessee,38459,2074 Knapp Mill,2,2,1857,890170.17,1932,Perfect for first-time buyers or investors.,2024-02-16,Pending,townhouses
29000589,Winchester Center,Connecticut,6094,934 Taylor Mission Suite 284,4,2,1003,1477340.52,1910,Perfect for first-time buyers or investors.,2024-02-04,Off Market,single houses
81113140,Los Angeles,California,90004,27432 Edwin River Apt. 049,4,2,966,2100376.35,2013,Recently renovated with modern finishes.,2024-05-19,Sold,single houses
47062856,East Pittsburgh,Pennsylvania,15112,70082 Ryan Club Apt. 954,5,2,3904,1350196.16,1998,Recently renovated with modern finishes.,2023-10-01,Off Market,apartments
56765490,Everett,Washington,98206,028 Gregory Square Apt. 330,1,1,4605,3819143.83,1991,"Located in a quiet neighborhood, this property offers great potential.",2023-10-21,Sold,villas
33533414,Falcon,Mississippi,38628,96694 Dorothy Station,5,1,2407,305433.17,1902,Perfect for first-time buyers or investors.,2023-12-08,Off Market,condominiums
56142189,Denver,Colorado,80227,477 Mario Forges Apt. 155,4,2,1768,4623307.31,1920,Recently renovated with modern finishes.,2024-05-18,Pending,townhouses
35662846,Boston,Massachusetts,2222,726 Sean Ridges,2,3,4101,340649.11,1913,Perfect for first-time buyers or investors.,2024-02-11,For Sale,villas
69982450,Thompsons,Texas,77481,8001 Leslie Ports,3,1,2446,4373317.84,2011,A beautiful home with stunning views.,2024-06-02,Pending,condominiums
17095147,South Dennis,New Jersey,8245,548 Bailey Groves,2,3,1536,4180248.94,1960,Recently renovated with modern finishes.,2023-12-11,Off Market,villas
56386821,Saint Paul,Minnesota,55116,695 Bruce Street Apt. 042,4,1,3673,1712485.31,2014,Spacious property with a large backyard.,2023-08-21,For Sale,single houses
13934402,Village,Virginia,22570,04223 Bryan Brook,4,3,3950,4058597.46,1968,Spacious property with a large backyard.,2024-05-14,Off Market,condominiums
79626359,Tuscarora,Maryland,21790,642 Michelle Cliff Apt. 452,3,1,2521,4194941.08,1974,Close to schools and shopping centers.,2024-06-06,Sold,apartments
82322026,San Miguel,New Mexico,88058,27490 Ryan Cove,5,2,4710,4968249.32,1909,"Located in a quiet neighborhood, this property offers great potential.",2024-05-18,Under Contract,condominiums
36385225,East Chicago,Indiana,46312,842 Anderson Stream,2,3,3335,3788208.6,1936,Recently renovated with modern finishes.,2024-04-07,Off Market,villas
37643862,Casar,North Carolina,28020,5630 Kathryn Harbor Apt. 124,2,2,4918,793360.61,1918,Spacious property with a large backyard.,2024-04-11,Off Market,single houses
58576193,Lexington,North Carolina,27292,6433 Thomas Park,1,2,4920,406159.28,1918,Close to schools and shopping centers.,2024-01-18,For Sale,condominiums
14077144,Alva,Wyoming,82711,36692 Lam Points Suite 692,1,2,3642,4822011.4,1985,Spacious property with a large backyard.,2024-06-04,Pending,apartments
71501607,Lynch,Nebraska,68746,0728 Pierce Grove,2,3,2942,4733354.5,2020,"Located in a quiet neighborhood, this property offers great potential.",2023-09-24,Pending,condominiums
68787541,Brandon,Texas,76628,827 Adam Squares,1,2,2975,1824799.59,2022,Spacious property with a large backyard.,2023-09-22,Pending,condominiums
92433496,Pipestem,West Virginia,25979,326 White Inlet Suite 260,3,1,2181,356950.32,1940,Perfect for first-time buyers or investors.,2024-01-14,For Sale,villas
76206662,Badger,California,93603,944 Simpson Mount,1,2,786,3218640.67,1931,Recently renovated with modern finishes.,2023-08-18,Off Market,villas
30400764,Kansas City,Missouri,64117,9148 Joseph Parkway Suite 636,4,2,4639,3841679.8,1966,Perfect for first-time buyers or investors.,2024-05-22,For Sale,apartments
